Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Luzerne,04/10/2020,47,105.6,1399,317417,14.8,33.3,440.7,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Montgomery,11/13/2020,289,251,17285,830915,34.8,30.2,2080.2,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Susquehanna,01/01/2021,10,15.1,1068,40328,24.8,37.5,2648.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Snyder,10/14/2020,3,4.9,452,40372,7.4,12,1119.6,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Mifflin,01/17/2021,27,34.6,4021,46138,58.5,74.9,8715.2,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Clarion,02/20/2021,2,6.4,2657,38438,5.2,16.7,6912.4,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Allegheny,03/28/2020,48,32.9,272,1216045,3.9,2.7,22.4,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lebanon,03/29/2021,64,46.1,13802,141793,45.1,32.5,9733.9,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
York,06/04/2020,2,6.6,1046,449058,0.4,1.5,232.9,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
York,05/09/2020,6,13.1,779,449058,1.3,2.9,173.5,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Adams,03/08/2021,34,22.4,7508,103009,33,21.8,7288.7,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Monroe,12/28/2020,106,75.9,5945,170271,62.3,44.6,3491.5,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Erie,11/06/2020,52,46,2544,269728,19.3,17.1,943.2,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Chester,11/26/2020,204,180.9,11950,524989,38.9,34.4,2276.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Dauphin,03/16/2021,60,50.9,21503,278299,21.6,18.3,7726.6,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Centre,04/04/2021,22,60.3,14884,162385,13.5,37.1,9165.9,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Beaver,06/04/2020,0,2.7,605,163929,0,1.7,369.1,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Lawrence,09/04/2020,4,2.4,474,85512,4.7,2.8,554.3,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Mercer,05/10/2020,2,1.3,77,109424,1.8,1.2,70.4,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Lebanon,12/08/2020,82,120.6,6406,141793,57.8,85,4517.9,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lebanon,11/22/2020,56,95.9,4789,141793,39.5,67.6,3377.5,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Erie,01/26/2021,111,95.1,15103,269728,41.2,35.3,5599.3,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Northampton,03/31/2021,137,149.3,30603,305285,44.9,48.9,10024.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Schuylkill,10/26/2020,51,46.1,2008,141359,36.1,32.6,1420.5,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Bucks,04/02/2021,367,287,51897,628270,58.4,45.7,8260.3,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Cameron,03/03/2021,0,0.1,261,4447,0,3.2,5869.1,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Northampton,11/10/2020,113,83.3,6389,305285,37,27.3,2092.8,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Bradford,06/10/2020,0,0,50,60323,0,0,82.9,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Northumberland,01/03/2021,41,84.7,5318,90843,45.1,93.3,5854.1,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lehigh,02/08/2021,190,111.4,29256,369318,51.4,30.2,7921.6,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Pennsylvania,02/16/2021,3425,3060.6,903754,12801989,26.8,23.9,7059.5,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Monroe,01/16/2021,78,85.6,7751,170271,45.8,50.3,4552.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Venango,04/04/2021,1,4.6,3573,50668,2,9,7051.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
York,07/23/2020,20,22.9,2127,449058,4.5,5.1,473.7,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Franklin,04/28/2020,28,16.7,261,155027,18.1,10.8,168.4,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Elk,04/03/2021,16,13,2598,29910,53.5,43.5,8686.1,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Indiana,05/27/2020,0,0.1,91,84073,0,0.2,108.2,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Fulton,01/22/2021,7,9.3,983,14530,48.2,63.9,6765.3,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
McKean,11/18/2020,25,14.6,346,40625,61.5,35.9,851.7,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Blair,11/05/2020,39,66.6,1776,121829,32,54.6,1457.8,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Allegheny,11/16/2020,309,408.6,20842,1216045,25.4,33.6,1713.9,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lancaster,12/18/2020,361,385.1,24341,545724,66.2,70.6,4460.3,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Beaver,09/22/2020,5,6.4,1868,163929,3.1,3.9,1139.5,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Crawford,11/19/2020,47,59.6,1379,84629,55.5,70.4,1629.5,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Lehigh,05/27/2020,20,20.1,3728,369318,5.4,5.5,1009.4,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Philadelphia,09/18/2020,100,93.9,31262,1584064,6.3,5.9,1973.5,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Northampton,12/18/2020,273,253,14017,305285,89.4,82.9,4591.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Luzerne,07/04/2020,4,7.7,2980,317417,1.3,2.4,938.8,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Northumberland,12/14/2020,57,73.4,3854,90843,62.7,80.8,4242.5,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Bucks,01/13/2021,346,347.3,35492,628270,55.1,55.3,5649.2,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Butler,10/22/2020,51,26.7,1571,187853,27.1,14.2,836.3,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Forest,02/13/2021,5,2,1363,7247,69,27.6,18807.8,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Lawrence,09/15/2020,3,1.7,493,85512,3.5,2,576.5,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Northampton,09/10/2020,17,10.3,4248,305285,5.6,3.4,1391.5,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Washington,03/12/2021,44,34,14167,206865,21.3,16.4,6848.4,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Centre,02/23/2021,42,45.4,12822,162385,25.9,28,7896,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Beaver,03/26/2021,51,36.1,13040,163929,31.1,22,7954.7,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Blair,07/16/2020,8,4,125,121829,6.6,3.3,102.6,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Westmoreland,02/11/2021,77,77.9,25750,348899,22.1,22.3,7380.4,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Schuylkill,08/27/2020,3,2.7,1001,141359,2.1,1.9,708.1,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
York,01/10/2021,276,372,26806,449058,61.5,82.8,5969.4,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Mercer,06/06/2020,0,0.6,114,109424,0,0.5,104.2,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Northumberland,02/25/2021,14,12.4,8020,90843,15.4,13.7,8828.4,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Luzerne,12/26/2020,148,182.4,16482,317417,46.6,57.5,5192.5,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Monroe,02/16/2021,37,41.7,9316,170271,21.7,24.5,5471.3,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Lawrence,02/28/2021,13,16.7,6043,85512,15.2,19.5,7066.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Northampton,09/07/2020,3,8.7,4212,305285,1,2.9,1379.7,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Chester,03/12/2021,84,79.7,31696,524989,16,15.2,6037.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Centre,01/26/2021,125,71.3,10934,162385,77,43.9,6733.4,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Clinton,01/13/2021,11,26.3,2318,38632,28.5,68,6000.2,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Montgomery,01/22/2021,331,325.4,45677,830915,39.8,39.2,5497.2,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Lawrence,12/01/2020,37,51.3,2345,85512,43.3,60,2742.3,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Washington,02/02/2021,57,66.4,12763,206865,27.6,32.1,6169.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Schuylkill,09/09/2020,0,3.7,1044,141359,0,2.6,738.5,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Luzerne,03/17/2021,70,63.1,25952,317417,22.1,19.9,8176,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Crawford,10/28/2020,13,15.6,543,84629,15.4,18.4,641.6,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Indiana,01/17/2021,21,21.7,4515,84073,25,25.8,5370.3,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Cambria,12/18/2020,132,133,7839,130192,101.4,102.2,6021.1,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cambria,04/08/2020,1,0.7,11,130192,0.8,0.5,8.4,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Lancaster,10/24/2020,54,55.4,9369,545724,9.9,10.2,1716.8,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Elk,01/14/2021,94,35.3,1881,29910,314.3,118,6288.9,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Montgomery,05/18/2020,53,90.1,6239,830915,6.4,10.8,750.9,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Carbon,07/31/2020,4,2.3,363,64182,6.2,3.6,565.6,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Delaware,08/16/2020,38,66.4,9873,566747,6.7,11.7,1742,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Bradford,05/28/2020,0,0.4,48,60323,0,0.7,79.6,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Armstrong,06/08/2020,0,0.4,65,64735,0,0.7,100.4,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Washington,11/14/2020,104,77.1,3049,206865,50.3,37.3,1473.9,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Monroe,12/10/2020,71,95.9,4519,170271,41.7,56.3,2654,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Northumberland,01/02/2021,51,82.1,5277,90843,56.1,90.4,5808.9,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Perry,05/26/2020,5,2.1,55,46272,10.8,4.6,118.9,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Philadelphia,08/20/2020,122,113.1,28147,1584064,7.7,7.1,1776.9,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Armstrong,04/30/2020,1,1.3,51,64735,1.5,2,78.8,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Crawford,02/03/2021,13,23.3,6060,84629,15.4,27.5,7160.7,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Carbon,02/21/2021,4,14,4808,64182,6.2,21.8,7491.2,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Chester,10/29/2020,37,52.6,8272,524989,7,10,1575.7,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Lebanon,03/23/2021,68,31.9,13547,141793,48,22.5,9554.1,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Montgomery,01/29/2021,310,386.9,48385,830915,37.3,46.6,5823.1,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Pennsylvania,05/17/2020,816,838.1,63361,12801989,6.4,6.5,494.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Luzerne,02/18/2021,73,69.9,24466,317417,23,22,7707.8,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Philadelphia,07/19/2020,110,147.6,23765,1584064,6.9,9.3,1500.3,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Northampton,12/14/2020,148,256.9,12918,305285,48.5,84.1,4231.5,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Fayette,03/01/2021,33,25.1,10356,129274,25.5,19.4,8010.9,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Bucks,03/05/2021,197,157.4,45956,628270,31.4,25.1,7314.7,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Erie,12/17/2020,231,223.1,9542,269728,85.6,82.7,3537.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
McKean,05/29/2020,0,0.1,14,40625,0,0.4,34.5,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Greene,03/03/2021,11,5,2687,36233,30.4,13.8,7415.9,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Washington,03/11/2021,41,33.9,14123,206865,19.8,16.4,6827.2,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Union,09/19/2020,1,3.1,455,44923,2.2,7,1012.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Luzerne,03/24/2021,95,75.7,26482,317417,29.9,23.9,8343,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Pennsylvania,08/06/2020,782,763.6,118130,12801989,6.1,6,922.7,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Philadelphia,10/31/2020,334,375.9,40364,1584064,21.1,23.7,2548.1,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
York,03/25/2021,242,157,38784,449058,53.9,35,8636.7,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Venango,09/13/2020,0,0.4,86,50668,0,0.8,169.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Crawford,10/15/2020,8,5.3,379,84629,9.5,6.2,447.8,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Mifflin,03/12/2021,9,6.1,4664,46138,19.5,13.3,10108.8,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Bradford,01/28/2021,7,20.4,3971,60323,11.6,33.9,6582.9,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Snyder,12/28/2020,30,20.3,1905,40372,74.3,50.2,4718.6,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Carbon,08/09/2020,0,1.9,378,64182,0,2.9,589,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Jefferson,12/23/2020,45,30.1,1770,43425,103.6,69.4,4076,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Franklin,03/03/2021,35,28.3,12605,155027,22.6,18.2,8130.8,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Columbia,10/07/2020,9,7.3,985,64964,13.9,11.2,1516.2,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Luzerne,10/30/2020,80,70,5593,317417,25.2,22.1,1762,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Crawford,03/22/2021,7,7.4,6631,84629,8.3,8.8,7835.4,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Fayette,10/22/2020,18,9,988,129274,13.9,7,764.3,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Centre,02/27/2021,40,40,12981,162385,24.6,24.6,7994,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Pennsylvania,09/28/2020,1120,908.1,159595,12801989,8.7,7.1,1246.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lackawanna,02/10/2021,81,63.4,13139,209674,38.6,30.3,6266.4,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Mercer,06/09/2020,1,0.9,117,109424,0.9,0.8,106.9,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Fayette,03/09/2021,18,18.4,10506,129274,13.9,14.3,8126.9,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Blair,12/08/2020,119,127.4,5442,121829,97.7,104.6,4466.9,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Northampton,04/02/2021,242,160.7,31013,305285,79.3,52.6,10158.7,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Crawford,06/25/2020,1,1.6,54,84629,1.2,1.9,63.8,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Luzerne,07/28/2020,32,21,3262,317417,10.1,6.6,1027.7,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Lebanon,01/17/2021,49,91.3,10799,141793,34.6,64.4,7616,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lackawanna,02/08/2021,54,55.1,12988,209674,25.8,26.3,6194.4,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Delaware,03/01/2021,96,125.6,41080,566747,16.9,22.2,7248.4,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
York,08/21/2020,47,33,3102,449058,10.5,7.3,690.8,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Armstrong,08/14/2020,2,5,246,64735,3.1,7.7,380,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Lackawanna,12/20/2020,103,118.9,7561,209674,49.1,56.7,3606.1,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Lebanon,08/15/2020,5,6.1,1655,141793,3.5,4.3,1167.2,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Venango,06/20/2020,0,0,20,50668,0,0,39.5,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Lawrence,09/11/2020,1,1.4,484,85512,1.2,1.7,566,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Delaware,02/12/2021,165,151.7,39201,566747,29.1,26.8,6916.8,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Cambria,09/30/2020,24,8.1,632,130192,18.4,6.3,485.4,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Juniata,04/04/2021,0,6.3,1946,24763,0,25.4,7858.5,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Lehigh,03/02/2021,77,76.6,31050,369318,20.8,20.7,8407.4,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lawrence,06/26/2020,4,1.9,107,85512,4.7,2.2,125.1,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Crawford,12/19/2020,57,87.6,4319,84629,67.4,103.5,5103.5,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Centre,03/24/2021,53,64.1,14161,162385,32.6,39.5,8720.6,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Fayette,07/05/2020,8,5,154,129274,6.2,3.9,119.1,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Venango,08/20/2020,1,0.3,77,50668,2,0.6,152,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Jefferson,01/29/2021,29,17.9,2538,43425,66.8,41.1,5844.6,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Indiana,01/12/2021,28,28.6,4413,84073,33.3,34,5249,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Clearfield,11/27/2020,118,65.7,1645,79255,148.9,82.9,2075.6,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Perry,05/21/2020,0,0.9,42,46272,0,1.9,90.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Columbia,04/04/2021,6,13.9,5004,64964,9.2,21.3,7702.7,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Lehigh,06/03/2020,14,14.6,3830,369318,3.8,3.9,1037,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Columbia,02/09/2021,15,27.1,4423,64964,23.1,41.8,6808.4,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Philadelphia,01/19/2021,492,514.7,100106,1584064,31.1,32.5,6319.6,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Juniata,02/13/2021,3,5,1771,24763,12.1,20.2,7151.8,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Lebanon,09/21/2020,18,13.9,1968,141793,12.7,9.8,1387.9,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Berks,01/24/2021,134,213.1,30226,421164,31.8,50.6,7176.8,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Delaware,08/18/2020,37,57.7,9975,566747,6.5,10.2,1760,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Westmoreland,02/08/2021,96,79.3,25502,348899,27.5,22.7,7309.3,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Monroe,11/17/2020,33,42.6,2696,170271,19.4,25,1583.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Lebanon,12/13/2020,108,126.6,7058,141793,76.2,89.3,4977.7,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Elk,09/17/2020,1,0.3,72,29910,3.3,1,240.7,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Northampton,11/25/2020,165,165.9,8564,305285,54,54.3,2805.2,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Philadelphia,09/17/2020,88,95.9,31162,1584064,5.6,6.1,1967.2,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Dauphin,02/20/2021,37,62.4,20168,278299,13.3,22.4,7246.9,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Erie,05/20/2020,13,6.7,181,269728,4.8,2.5,67.1,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Adams,11/25/2020,45,37,1901,103009,43.7,35.9,1845.5,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Lackawanna,11/12/2020,52,36.4,4334,209674,24.8,17.4,2067,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Armstrong,11/27/2020,42,39.4,1815,64735,64.9,60.9,2803.7,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Schuylkill,09/21/2020,3,3.7,1091,141359,2.1,2.6,771.8,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Bradford,06/11/2020,0,0,50,60323,0,0,82.9,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Crawford,01/26/2021,36,25.6,5874,84629,42.5,30.2,6940.9,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Allegheny,06/27/2020,103,57.6,2598,1216045,8.5,4.7,213.6,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Northampton,03/22/2021,186,127.9,29149,305285,60.9,41.9,9548.1,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Lackawanna,03/28/2021,29,64.7,15384,209674,13.8,30.9,7337.1,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Montour,04/06/2021,5,4.3,1868,18230,27.4,23.5,10246.8,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Armstrong,11/19/2020,60,47.1,1490,64735,92.7,72.8,2301.7,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Westmoreland,01/17/2021,77,173.3,23304,348899,22.1,49.7,6679.3,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Washington,12/21/2020,164,139.1,7892,206865,79.3,67.3,3815,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Lackawanna,11/16/2020,62,41.3,4487,209674,29.6,19.7,2140,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Perry,08/07/2020,2,0.9,132,46272,4.3,1.9,285.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Lawrence,03/03/2021,19,20.1,6111,85512,22.2,23.6,7146.4,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Pennsylvania,05/21/2020,900,798.1,66540,12801989,7,6.2,519.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Cambria,08/04/2020,32,10.7,321,130192,24.6,8.2,246.6,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Indiana,07/06/2020,3,1.1,119,84073,3.6,1.4,141.5,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Susquehanna,01/23/2021,7,14.9,1434,40328,17.4,36.8,3555.8,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Delaware,05/29/2020,47,42.1,6520,566747,8.3,7.4,1150.4,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Clearfield,03/25/2021,39,30,6994,79255,49.2,37.9,8824.7,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Westmoreland,07/29/2020,29,19.9,1396,348899,8.3,5.7,400.1,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Perry,12/15/2020,35,39,1230,46272,75.6,84.3,2658.2,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Mifflin,02/15/2021,8,8.6,4484,46138,17.3,18.6,9718.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Lehigh,07/03/2020,13,14.6,4322,369318,3.5,3.9,1170.3,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Berks,11/12/2020,133,124.6,11053,421164,31.6,29.6,2624.4,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Armstrong,06/10/2020,0,0.1,65,64735,0,0.2,100.4,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
